cluster,V[],"V[ccomp:arg,expl,iobj:arg,obj:arg]","V[ccomp:arg,expl,obj:arg]","V[ccomp:arg,expl]","V[ccomp:arg,iobj:arg,nsubj:arg,obl:arg]","V[ccomp:arg,iobj:arg,nsubj:arg]","V[ccomp:arg,iobj:arg]","V[ccomp:arg,nsubj:arg,obj:arg]","V[ccomp:arg,nsubj:arg,obl:arg]","V[ccomp:arg,nsubj:arg,xcomp:arg]","V[ccomp:arg,nsubj:arg]","V[ccomp:arg,obj:arg]",V[ccomp:arg],"V[expl,iobj:arg,obj:arg]","V[expl,nsubj:arg]","V[expl,obj:arg,obl:arg]","V[expl,obj:arg,xcomp:arg]","V[expl,obj:arg]","V[expl,obl:arg]","V[expl,xcomp:arg]",V[expl],"V[iobj:arg,nsubj:arg,obj:arg]","V[iobj:arg,nsubj:arg,obl:arg]","V[iobj:arg,nsubj:arg,xcomp:arg]","V[iobj:arg,nsubj:arg]","V[iobj:arg,obj:arg]",V[iobj:arg],"V[nsubj:arg,obj:arg,obl:arg]","V[nsubj:arg,obj:arg,xcomp:arg]","V[nsubj:arg,obj:arg]","V[nsubj:arg,obl:arg]","V[nsubj:arg,xcomp:arg]",V[nsubj:arg],"V[obj:arg,obl:arg]","V[obj:arg,xcomp:arg]",V[obj:arg],"V[obl:arg,xcomp:arg]",V[obl:arg],V[xcomp:arg]
0,0.41379310344827586,0.0,0.0,0.3448275862068966,0.034482758620689655,2.8275862068965516,0.1724137931034483,1.1724137931034482,0.06896551724137931,0.13793103448275862,2.793103448275862,0.1724137931034483,0.3448275862068966,0.13793103448275862,0.0,0.0,0.0,0.06896551724137931,0.0,0.2413793103448276,0.27586206896551724,10.620689655172415,0.13793103448275862,0.3103448275862069,3.0689655172413794,0.896551724137931,0.27586206896551724,2.0689655172413794,0.7241379310344828,14.931034482758621,1.0344827586206897,7.137931034482759,3.793103448275862,0.1724137931034483,0.0,0.8620689655172413,0.034482758620689655,0.034482758620689655,0.2413793103448276
1,0.0,0.0,0.0,0.0,0.0,0.0055248618784530384,0.0,0.022099447513812154,0.0,0.0,0.0718232044198895,0.0,0.011049723756906077,0.0055248618784530384,0.0,0.0,0.0,0.03867403314917127,0.0,0.0055248618784530384,0.011049723756906077,0.011049723756906077,0.0,0.0055248618784530384,0.011049723756906077,0.0,0.0,0.1712707182320442,0.016574585635359115,0.6243093922651933,0.11602209944751381,0.03867403314917127,0.8287292817679558,0.0,0.0,0.08287292817679558,0.0,0.011049723756906077,0.0
2,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0625,0.0,0.0,0.125,0.0,3.1875,4.8125,0.0,9.5,0.125,0.0,0.0625,0.0,0.125,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1818181818181817,0.0,0.0,0.0,0.18181818181818182,0.0,0.2727272727272727,0.0,2.5454545454545454,0.09090909090909091,0.0,0.45454545454545453,0.0,0.0,0.18181818181818182,0.0,0.0,0.0
4,0.1111111111111111,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,2.5555555555555554,0.0,0.0,0.1111111111111111,0.6666666666666666,0.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.4444444444444444,17.555555555555557,0.3333333333333333,1.0,1.5555555555555556,0.0,0.0,0.5555555555555556,0.0,0.0,0.0
5,0.25,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.05357142857142857,0.0,0.0,3.625,0.0,0.08928571428571429,0.0,0.0,0.0,0.0,0.05357142857142857,0.0,0.0,0.05357142857142857,0.8035714285714286,0.0,0.0,0.25,0.017857142857142856,0.0,0.375,0.0,15.071428571428571,0.6607142857142857,0.08928571428571429,3.0714285714285716,0.0,0.0,1.5535714285714286,0.0,0.017857142857142856,0.0
6,5.333333333333333,0.3333333333333333,0.0,5.333333333333333,0.0,2.3333333333333335,0.0,2.0,0.0,0.0,48.333333333333336,0.0,5.0,2.0,0.0,0.0,0.3333333333333333,9.0,0.0,0.3333333333333333,5.0,27.666666666666668,0.0,0.6666666666666666,5.0,1.0,0.0,0.3333333333333333,0.0,109.66666666666667,2.6666666666666665,4.0,51.0,0.0,0.0,12.666666666666666,0.0,0.3333333333333333,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,20.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2.861111111111111,0.0,0.05555555555555555,2.861111111111111,0.0,0.0,0.0,0.19444444444444445,0.0,0.0,4.861111111111111,0.0,0.1388888888888889,0.1111111111111111,0.0,0.08333333333333333,0.027777777777777776,0.4166666666666667,0.19444444444444445,0.05555555555555555,0.9166666666666666,1.4444444444444444,0.0,0.1111111111111111,0.08333333333333333,0.05555555555555555,0.0,1.75,0.16666666666666666,29.77777777777778,15.055555555555555,0.8888888888888888,27.555555555555557,0.05555555555555555,0.05555555555555555,2.0833333333333335,0.0,1.3333333333333333,0.0
9,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.0,0.016129032258064516,0.0,0.0,0.04838709677419355,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.25806451612903225,0.0,0.0,0.08064516129032258,0.0,0.0,0.0,0.0,3.8225806451612905,0.08064516129032258,0.11290322580645161,0.2903225806451613,0.0,0.0,0.0,0.0,0.0,0.0
10,1.4594594594594594,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.24324324324324326,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.2702702702702703,0.0,0.0,0.10810810810810811,0.0,0.0,0.05405405405405406,0.0,3.945945945945946,0.4864864864864865,0.0,2.72972972972973,0.0,0.0,0.02702702702702703,0.0,0.05405405405405406,0.0
